onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
79.428	n/a	39714	contrastChangeB2_start	95	n/a
85.23	n/a	42615	contrastTrial_start	5	n/a
88.034	n/a	44017	left_target	8	n/a
89.414	n/a	44707	left_buttonPress	12	smiley_face
90.434	n/a	45217	contrastTrial_start	5	n/a
93.234	n/a	46617	right_target	9	n/a
95.084	n/a	47542	right_buttonPress	13	smiley_face
95.634	n/a	47817	contrastTrial_start	5	n/a
101.634	n/a	50817	left_target	8	n/a
102.484	n/a	51242	left_buttonPress	12	smiley_face
104.034	n/a	52017	contrastTrial_start	5	n/a
104.114	n/a	52057	left_buttonPress	12	non_target
106.164	n/a	53082	left_buttonPress	12	non_target
110.034	n/a	55017	right_target	9	n/a
112.044	n/a	56022	right_buttonPress	13	smiley_face
112.434	n/a	56217	contrastTrial_start	5	n/a
118.434	n/a	59217	left_target	8	n/a
120.034	n/a	60017	left_buttonPress	12	smiley_face
120.834	n/a	60417	contrastTrial_start	5	n/a
125.234	n/a	62617	right_target	9	n/a
126.584	n/a	63292	right_buttonPress	13	smiley_face
127.634	n/a	63817	contrastTrial_start	5	n/a
133.632	n/a	66816	right_target	9	n/a
136.034	n/a	68017	contrastTrial_start	5	n/a
138.832	n/a	69416	left_target	8	n/a
140.032	n/a	70016	left_buttonPress	12	smiley_face
141.232	n/a	70616	contrastTrial_start	5	n/a
147.232	n/a	73616	left_target	8	n/a
149.632	n/a	74816	contrastTrial_start	5	n/a
154.032	n/a	77016	left_target	8	n/a
155.442	n/a	77721	left_buttonPress	12	smiley_face
156.432	n/a	78216	contrastTrial_start	5	n/a
160.832	n/a	80416	left_target	8	n/a
162.142	n/a	81071	left_buttonPress	12	smiley_face
163.232	n/a	81616	contrastTrial_start	5	n/a
166.032	n/a	83016	left_target	8	n/a
167.382	n/a	83691	left_buttonPress	12	smiley_face
168.432	n/a	84216	contrastTrial_start	5	n/a
172.832	n/a	86416	right_target	9	n/a
174.642	n/a	87321	right_buttonPress	13	smiley_face
175.232	n/a	87616	contrastTrial_start	5	n/a
181.232	n/a	90616	right_target	9	n/a
182.452	n/a	91226	right_buttonPress	13	smiley_face
183.632	n/a	91816	contrastTrial_start	5	n/a
183.802	n/a	91901	right_buttonPress	13	non_target
188.032	n/a	94016	left_target	8	n/a
188.722	n/a	94361	left_buttonPress	12	smiley_face
190.432	n/a	95216	contrastTrial_start	5	n/a
196.432	n/a	98216	left_target	8	n/a
197.742	n/a	98871	left_buttonPress	12	smiley_face
198.832	n/a	99416	contrastTrial_start	5	n/a
203.232	n/a	101616	left_target	8	n/a
204.902	n/a	102451	left_buttonPress	12	smiley_face
205.632	n/a	102816	contrastTrial_start	5	n/a
208.432	n/a	104216	left_target	8	n/a
209.622	n/a	104811	left_buttonPress	12	smiley_face
210.832	n/a	105416	contrastTrial_start	5	n/a
213.632	n/a	106816	right_target	9	n/a
215.482	n/a	107741	right_buttonPress	13	smiley_face
216.032	n/a	108016	contrastTrial_start	5	n/a
218.832	n/a	109416	right_target	9	n/a
220.132	n/a	110066	right_buttonPress	13	smiley_face
221.232	n/a	110616	contrastTrial_start	5	n/a
225.632	n/a	112816	right_target	9	n/a
226.932	n/a	113466	right_buttonPress	13	smiley_face
228.032	n/a	114016	contrastTrial_start	5	n/a
230.832	n/a	115416	right_target	9	n/a
232.102	n/a	116051	right_buttonPress	13	smiley_face
233.232	n/a	116616	contrastTrial_start	5	n/a
237.632	n/a	118816	right_target	9	n/a
239.21	n/a	119605	right_buttonPress	13	smiley_face
240.032	n/a	120016	contrastTrial_start	5	n/a
246.03	n/a	123015	right_target	9	n/a
247.822	n/a	123911	right_buttonPress	13	smiley_face
248.432	n/a	124216	contrastTrial_start	5	n/a
254.876	n/a	127438	break cnt	break cnt	n/a
294.266	n/a	147133	9999	9999	n/a
295.294	n/a	147647	video_start	83	n/a
465.848	n/a	232924	video_stop	103	n/a
466.362	n/a	233181	break cnt	break cnt	n/a
498.36	n/a	249180	contrastChangeB3_start	96	n/a
504.158	n/a	252079	contrastTrial_start	5	n/a
508.56	n/a	254280	right_target	9	n/a
510.16	n/a	255080	right_buttonPress	13	smiley_face
510.96	n/a	255480	contrastTrial_start	5	n/a
516.96	n/a	258480	right_target	9	n/a
518.59	n/a	259295	right_buttonPress	13	smiley_face
519.36	n/a	259680	contrastTrial_start	5	n/a
523.76	n/a	261880	left_target	8	n/a
524.8	n/a	262400	left_buttonPress	12	smiley_face
526.16	n/a	263080	contrastTrial_start	5	n/a
530.56	n/a	265280	right_target	9	n/a
532.89	n/a	266445	right_buttonPress	13	smiley_face
532.96	n/a	266480	contrastTrial_start	5	n/a
538.96	n/a	269480	left_target	8	n/a
540.13	n/a	270065	left_buttonPress	12	smiley_face
541.36	n/a	270680	contrastTrial_start	5	n/a
547.358	n/a	273679	left_target	8	n/a
548.88	n/a	274440	left_buttonPress	12	smiley_face
549.758	n/a	274879	contrastTrial_start	5	n/a
552.558	n/a	276279	left_target	8	n/a
554.408	n/a	277204	left_buttonPress	12	smiley_face
554.958	n/a	277479	contrastTrial_start	5	n/a
559.358	n/a	279679	right_target	9	n/a
560.858	n/a	280429	right_buttonPress	13	smiley_face
